U_mm,F_lb_kN,F_ub_kN
0.0,0.0,0.0
0.001,0.0333207692307692,0.0442075
0.002,0.0666415384615384,0.088415
0.003,0.0999623076923076,0.1326225
0.004,0.1332830769230769,0.17683
0.005,0.1666038461538461,0.2210375
0.006,0.200556923076923,0.2656566666666666
0.007,0.23451,0.3102758333333333
0.008,0.2684630769230769,0.3548949999999999
0.009,0.3024161538461539,0.3995141666666667
0.01,0.3363692307692308,0.4441333333333333
0.011,0.3709407692307692,0.4891591666666666
0.012,0.4055123076923078,0.5341849999999999
0.013,0.4400838461538462,0.5792108333333333
0.014,0.4746553846153847,0.6242366666666666
0.015,0.5092269230769232,0.6692624999999999
0.016,0.544403076923077,0.7146899999999999
0.017,0.5795792307692309,0.7601175
0.018,0.6147553846153847,0.805545
0.019,0.6499315384615385,0.8509724999999999
0.02,0.6851076923076923,0.8964
0.021,0.7208746153846154,0.9422241666666666
0.022,0.7566415384615384,0.9880483333333332
0.023,0.7924084615384615,1.0338725
0.024,0.8281753846153846,1.0796966666666663
0.025,0.8639423076923077,1.1255208333333333
0.026,0.900286153846154,1.1717366666666666
0.027,0.93663,1.2179524999999998
0.028,0.9729738461538464,1.2641683333333331
0.029,1.0093176923076923,1.310384166666667
0.03,1.0456615384615386,1.3565999999999998
0.031,1.0825684615384616,1.4032025
0.032,1.1194753846153849,1.449805
0.033,1.156382307692308,1.4964075
0.034,1.1932892307692309,1.54301
0.035,1.230196153846154,1.5896125
0.036,1.267652307692308,1.6365966666666667
0.037,1.3051084615384616,1.683580833333333
0.038,1.3425646153846154,1.7305649999999997
0.039,1.380020769230769,1.7775491666666663
0.04,1.417476923076923,1.824533333333333
0.041,1.4554684615384617,1.8718941666666664
0.042,1.4934600000000002,1.919255
0.043,1.5314515384615386,1.9666158333333332
0.044,1.569443076923077,2.0139766666666667
0.045,1.6074346153846155,2.0613375
0.046,1.6459476923076923,2.10907
0.047,1.6844607692307694,2.1568025
0.048,1.7229738461538462,2.204535
0.049,1.7614869230769232,2.2522675
0.05,1.8,2.3
0.051,1.839572076923077,2.348926136363636
0.052,1.879144153846154,2.3978522727272726
0.053,1.9187162307692305,2.4467784090909084
0.054,1.9582883076923077,2.495704545454545
0.055,1.9978603846153844,2.544630681818181
0.056,2.038824923076923,2.5952196969696963
0.057,2.0797894615384616,2.645808712121212
0.058,2.120754,2.696397727272727
0.059,2.1617185384615385,2.7469867424242422
0.06,2.2026830769230767,2.7975757575757574
0.061,2.2447202307692304,2.8492935606060605
0.062,2.2867573846153846,2.9010113636363632
0.063,2.3287945384615383,2.9527291666666664
0.064,2.3708316923076924,3.004446969696969
0.065,2.412868846153846,3.0561647727272723
0.066,2.455658769230769,3.1084772727272725
0.067,2.4984486923076923,3.1607897727272727
0.068,2.541238615384615,3.2131022727272724
0.069,2.5840285384615385,3.2654147727272727
0.07,2.6268184615384613,3.317727272727273
0.071,2.6700413076923075,3.3701003787878787
0.072,2.7132641538461537,3.422473484848485
0.073,2.7564869999999995,3.47484659090909
0.074,2.7997098461538457,3.5272196969696963
0.075,2.842932692307692,3.579592803030302
0.076,2.886268615384615,3.631492424242424
0.077,2.9296045384615383,3.683392045454545
0.078,2.9729404615384616,3.735291666666666
0.079,3.016276384615385,3.787191287878787
0.08,3.059612307692308,3.839090909090909
0.081,3.1027414615384616,3.8899829545454554
0.082,3.145870615384616,3.940875
0.083,3.188999769230769,3.991767045454545
0.084,3.2321289230769232,4.042659090909091
0.085,3.275258076923077,4.0935511363636365
0.086,3.3178606153846157,4.142901515151515
0.087,3.360463153846154,4.192251893939394
0.088,3.403065692307692,4.241602272727272
0.089,3.4456682307692303,4.290952651515151
0.09,3.488270769230769,4.34030303030303
0.091,3.530026846153845,4.387577651515152
0.092,3.5717829230769222,4.434852272727273
0.093,3.613539,4.482126893939394
0.094,3.655295076923076,4.529401515151515
0.095,3.697051153846153,4.576676136363637
0.096,3.7376409230769214,4.621340909090909
0.097,3.778230692307692,4.666005681818182
0.098,3.818820461538461,4.710670454545455
0.099,3.8594102307692304,4.755335227272727
0.1,3.9,4.8
0.101,3.940178983065199,4.843065940578072
0.102,3.980357966130398,4.886131881156144
0.103,4.020536949195598,4.929197821734216
0.104,4.060715932260797,4.972263762312288
0.105,4.100894915325995,5.01532970289036
0.106,4.141423427603725,5.057985086387856
0.107,4.181951939881456,5.100640469885354
0.108,4.222480452159187,5.143295853382851
0.109,4.263008964436918,5.185951236880348
0.11,4.303537476714649,5.228606620377845
0.111,4.344102862828112,5.270583243985144
0.112,4.384668248941575,5.312559867592443
0.113,4.425233635055038,5.354536491199742
0.114,4.465799021168501,5.39651311480704
0.115,4.506364407281964,5.438489738414339
0.116,4.54665401185436,5.479519399321815
0.117,4.5869436164267565,5.520549060229292
0.118,4.627233220999153,5.561578721136768
0.119,4.667522825571549,5.602608382044244
0.12,4.707812430143945,5.64363804295172
0.121,4.747513597798475,5.68345253834975
0.122,4.7872147654530055,5.72326703374778
0.123,4.826915933107535,5.7630815291458095
0.124,4.866617100762065,5.80289602454384
0.125,4.906318268416595,5.842710519941869
0.126,4.94511834377646,5.8810416470208295
0.127,4.983918419136325,5.91937277409979
0.128,5.022718494496189,5.957703901178751
0.129,5.061518569856054,5.996035028257711
0.13,5.100318645215919,6.034366155336671
0.131,5.137904972904319,6.070945711286938
0.132,5.175491300592718,6.107525267237205
0.133,5.213077628281118,6.144104823187471
0.134,5.250663955969517,6.1806843791377375
0.135,5.288250283657917,6.217263935088004
0.136,5.324310208298053,6.251823717099953
0.137,5.360370132938188,6.286383499111902
0.138,5.396430057578324,6.32094328112385
0.139,5.432489982218459,6.355503063135799
0.14,5.468549906858595,6.390062845147748
0.141,5.502770773073667,6.422334650411756
0.142,5.536991639288739,6.454606455675764
0.143,5.571212505503811,6.486878260939771
0.144,5.605433371718883,6.519150066203779
0.145,5.6396542379339545,6.551421871467786
0.146,5.671723390347164,6.581137497174229
0.147,5.703792542760373,6.610853122880672
0.148,5.735861695173582,6.640568748587115
0.149,5.767930847586791,6.670284374293558
0.15,5.8,6.7
0.151,5.832184031572901,6.728162635831375
0.152,5.864368063145802,6.7563252716627495
0.153,5.896552094718704,6.784487907494125
0.154,5.9287361262916045,6.812650543325499
0.155,5.960920157864506,6.840813179156874
0.156,5.994095146809318,6.868084575775518
0.157,6.02727013575413,6.895355972394161
0.158,6.0604451246989415,6.922627369012805
0.159,6.0936201136437536,6.949898765631448
0.16,6.126795102588566,6.977170162250092
0.161,6.158562621404485,7.00276995831614
0.162,6.1903301402204045,7.028369754382188
0.163,6.222097659036325,7.053969550448237
0.164,6.253865177852244,7.079569346514285
0.165,6.285632696668164,7.105169142580333
0.166,6.313594317854387,7.128316976753922
0.167,6.34155593904061,7.151464810927512
0.168,6.369517560226834,7.1746126451011
0.169,6.397479181413057,7.19776047927469
0.17,6.42544080259928,7.2209083134482785
0.171,6.447198098655004,7.240823824389545
0.172,6.468955394710728,7.26073933533081
0.173,6.490712690766451,7.280654846272077
0.174,6.512469986822175,7.300570357213343
0.175,6.534227282877898,7.320485868154608
0.176,6.547381826302318,7.336388694523687
0.177,6.560536369726738,7.352291520892765
0.178,6.573690913151159,7.368194347261843
0.179,6.586845456575579,7.384097173630922
0.18,6.6,7.4
0.181,6.607655201342282,7.413920454545455
0.182,6.615310402684564,7.427840909090909
0.183,6.622965604026846,7.441761363636364
0.184,6.630620805369128,7.455681818181818
0.185,6.63827600671141,7.469602272727273
0.186,6.6446476510067125,7.4825
0.187,6.651019295302014,7.495397727272727
0.188,6.657390939597316,7.508295454545455
0.189,6.663762583892617,7.521193181818182
0.19,6.670134228187919,7.534090909090909
0.191,6.674492449664429,7.543579545454545
0.192,6.67885067114094,7.553068181818181
0.193,6.68320889261745,7.562556818181817
0.194,6.6875671140939605,7.572045454545454
0.195,6.69192533557047,7.58153409090909
0.196,6.693540268456377,7.585227272727272
0.197,6.695155201342282,7.588920454545454
0.198,6.6967701342281885,7.592613636363636
0.199,6.698385067114094,7.596306818181818
0.2,6.7,7.6
0.201,6.695051591981132,7.598602398523985
0.202,6.690103183962265,7.59720479704797
0.203,6.6851547759433965,7.595807195571956
0.204,6.680206367924528,7.594409594095941
0.205,6.675257959905661,7.593011992619926
0.206,6.661633254716981,7.589082103321033
0.207,6.648008549528302,7.58515221402214
0.208,6.634383844339623,7.581222324723248
0.209,6.620759139150944,7.577292435424354
0.21,6.607134433962265,7.573362546125462
0.211,6.586664209905661,7.567294741697418
0.212,6.566193985849057,7.561226937269373
0.213,6.545723761792453,7.555159132841329
0.214,6.525253537735849,7.549091328413284
0.215,6.504783313679245,7.54302352398524
0.216,6.479298349056603,7.535212177121771
0.217,6.453813384433962,7.527400830258302
0.218,6.42832841981132,7.519589483394833
0.219,6.40284345518868,7.511778136531364
0.22,6.377358490566038,7.503966789667896
0.221,6.348689563679245,7.494806273062729
0.222,6.320020636792452,7.485645756457564
0.223,6.29135170990566,7.476485239852398
0.224,6.262682783018867,7.467324723247232
0.225,6.234013856132075,7.458164206642066
0.226,6.203991745283018,7.44804889298893
0.227,6.173969634433962,7.437933579335793
0.228,6.143947523584905,7.427818265682657
0.229,6.113925412735849,7.417702952029519
0.23,6.083903301886792,7.407587638376383
0.231,6.054358785377358,7.396911900369003
0.232,6.024814268867924,7.386236162361623
0.233,5.99526975235849,7.375560424354242
0.234,5.965725235849055,7.364884686346862
0.235,5.936180719339621,7.354208948339482
0.236,5.908944575471697,7.343367158671586
0.237,5.881708431603772,7.332525369003689
0.238,5.854472287735848,7.321683579335793
0.239,5.827236143867924,7.310841789667896
0.24,5.8,7.3
0.241,5.772946230511337,7.287446196372274
0.242,5.745892461022675,7.274892392744549
0.243,5.718838691534011,7.262338589116823
0.244,5.691784922045349,7.249784785489099
0.245,5.664731152556686,7.237230981861373
0.246,5.6349513177298,7.221466954711921
0.247,5.605171482902913,7.205702927562468
0.248,5.575391648076026,7.189938900413015
0.249,5.545611813249139,7.174174873263563
0.25,5.515831978422253,7.15841084611411
0.251,5.483983194376173,7.13990259724278
0.252,5.4521344103300935,7.1213943483714495
0.253,5.420285626284014,7.102886099500118
0.254,5.388436842237934,7.084377850628788
0.255,5.356588058191854,7.065869601757457
0.256,5.323327441045612,7.0450831329640975
0.257,5.29006682389937,7.024296664170737
0.258,5.256806206753128,7.003510195377377
0.259,5.223545589606886,6.982723726584016
0.26,5.190284972460644,6.961937257790656
0.261,5.15626963833327,6.9393385708751145
0.262,5.122254304205895,6.916739883959573
0.263,5.088238970078521,6.894141197044032
0.264,5.054223635951146,6.87154251012849
0.265,5.020208301823772,6.848943823212949
0.266,4.986095366834297,6.824998919975075
0.267,4.9519824318448205,6.801054016737201
0.268,4.917869496855345,6.777109113499326
0.269,4.8837565618658685,6.753164210261452
0.27,4.849643626876393,6.729219307023578
0.271,4.816090207143846,6.704394189263219
0.272,4.782536787411299,6.679569071502861
0.273,4.748983367678752,6.654743953742503
0.274,4.715429947946205,6.629918835982145
0.275,4.6818765282136585,6.605093718221786
0.276,4.649539739857072,6.579854387738792
0.277,4.617202951500484,6.554615057255798
0.278,4.5848661631438965,6.529375726772804
0.279,4.552529374787309,6.50413639628981
0.28,4.5201925864307215,6.478897065806816
0.281,4.489729545569124,6.4537095244010345
0.282,4.459266504707526,6.428521982995252
0.283,4.428803463845928,6.403334441589471
0.284,4.39834042298433,6.3781469001836895
0.285,4.367877382122733,6.352959358777907
0.286,4.339945204875156,6.328289608249188
0.287,4.31201302762758,6.303619857720468
0.288,4.284080850380003,6.278950107191748
0.289,4.2561486731324285,6.254280356663029
0.29,4.228216495884852,6.22961060613431
0.291,4.203472298370326,6.2059246482825
0.292,4.1787281008558,6.182238690430689
0.293,4.153983903341274,6.15855273257888
0.294,4.129239705826747,6.134866774727069
0.295,4.104495508312222,6.111180816875259
0.296,4.083596406649777,6.088944653500207
0.297,4.062697304987333,6.066708490125156
0.298,4.0417982033248885,6.044472326750103
0.299,4.020899101662445,6.022236163375052
0.3,4.0,6.0
0.301,3.9815763426853703,5.9783670524364405
0.302,3.9631526853707415,5.956734104872881
0.303,3.944729028056112,5.935101157309322
0.304,3.926305370741483,5.913468209745763
0.305,3.9078817134268538,5.891835262182203
0.306,3.890116091129628,5.869710349576272
0.307,3.8723504688324017,5.84758543697034
0.308,3.854584846535176,5.825460524364407
0.309,3.83681922423795,5.803335611758475
0.31,3.819053601940724,5.781210699152543
0.311,3.8019314940407134,5.758686920021186
0.312,3.784809386140703,5.736163140889831
0.313,3.767687278240692,5.713639361758474
0.314,3.750565170340681,5.691115582627119
0.315,3.7334430624406703,5.6685918034957625
0.316,3.716949948317688,5.645762256355932
0.317,3.700456834194705,5.622932709216101
0.318,3.683963720071722,5.600103162076271
0.319,3.6674706059487394,5.57727361493644
0.32,3.6509774918257567,5.55444406779661
0.321,3.635098850859614,5.531401851165255
0.322,3.619220209893471,5.508359634533899
0.323,3.603341568927328,5.485317417902542
0.324,3.587462927961185,5.462275201271186
0.325,3.5715842869950425,5.439232984639831
0.326,3.556305598565552,5.416071197033898
0.327,3.541026910136061,5.392909409427966
0.328,3.525748221706571,5.369747621822034
0.329,3.5104695332770803,5.346585834216102
0.33,3.4951908448475897,5.323424046610169
0.331,3.480497588334564,5.30023578654661
0.332,3.4658043318215377,5.2770475264830505
0.333,3.451111075308512,5.253859266419491
0.334,3.4364178187954857,5.230671006355932
0.335,3.42172456228246,5.2074827462923725
0.336,3.4076022170657105,5.184361112288135
0.337,3.393479871848961,5.161239478283898
0.338,3.379357526632212,5.13811784427966
0.339,3.365235181415462,5.114996210275423
0.34,3.3511128361987126,5.091874576271185
0.341,3.337546881658052,5.068912666843219
0.342,3.323980927117392,5.045950757415253
0.343,3.310414972576732,5.022988847987286
0.344,3.296849018036071,5.00002693855932
0.345,3.2832830634954107,4.977065029131354
0.346,3.270258979010652,4.954355942796608
0.347,3.257234894525893,4.931646856461862
0.348,3.244210810041134,4.908937770127117
0.349,3.231186725556375,4.886228683792371
0.35,3.218162641071616,4.863519597457626
0.351,3.2056659060225705,4.841156432733049
0.352,3.1931691709735257,4.818793268008474
0.353,3.18067243592448,4.796430103283899
0.354,3.1681757008754348,4.774066938559322
0.355,3.155678965826389,4.7517037738347465
0.356,3.14369505959287,4.729779629237289
0.357,3.1317111533593502,4.707855484639831
0.358,3.119727247125831,4.685931340042374
0.359,3.1077433408923114,4.664007195444916
0.36,3.095759434658792,4.642083050847458
0.361,3.0842738366206106,4.620691024894068
0.362,3.072788238582429,4.599298998940679
0.363,3.061302640544247,4.5779069729872885
0.364,3.0498170425060653,4.556514947033899
0.365,3.038331444467884,4.535122921080509
0.366,3.027329634004853,4.514356112288136
0.367,3.016327823541821,4.493589303495764
0.368,3.0053260130787898,4.47282249470339
0.369,2.994324202615758,4.452055685911017
0.37,2.983322392152727,4.431288877118645
0.371,2.9727898486446582,4.411240384004238
0.372,2.962257305136589,4.391191890889831
0.373,2.9517247616285207,4.371143397775424
0.374,2.941192218120452,4.351094904661018
0.375,2.930659674612383,4.331046411546611
0.376,2.9205818774390893,4.311809332627119
0.377,2.9105040802657958,4.292572253707627
0.378,2.900426283092501,4.273335174788136
0.379,2.890348485919207,4.2540980958686445
0.38,2.880270688745913,4.234861016949153
0.381,2.870633117287206,4.216528450741525
0.382,2.8609955458284992,4.198195884533899
0.383,2.851357974369792,4.179863318326271
0.384,2.8417204029110854,4.161530752118645
0.385,2.8320828314523783,4.143198185911017
0.386,2.822870965088071,4.125863230932204
0.387,2.8136590987237637,4.108528275953391
0.388,2.804447232359456,4.091193320974576
0.389,2.7952353659951483,4.073858365995763
0.39,2.786023499630841,4.05652341101695
0.391,2.777222817740745,4.040279165783899
0.392,2.768422135850649,4.024034920550848
0.393,2.759621453960553,4.007790675317797
0.394,2.750820772070457,3.9915464300847465
0.395,2.742020090180361,3.975302184851696
0.396,2.733616072144289,3.9602417478813567
0.397,2.7252120541082165,3.9451813109110176
0.398,2.7168080360721447,3.930120873940678
0.399,2.7084040180360724,3.915060436970339
0.4,2.7,3.9
0.401,2.691979090909091,3.885743979779412
0.402,2.683958181818182,3.871487959558823
0.403,2.675937272727273,3.8572319393382353
0.404,2.667916363636364,3.842975919117647
0.405,2.6598954545454543,3.8287198988970585
0.406,2.6522371291866027,3.81482481617647
0.407,2.644578803827751,3.800929733455882
0.408,2.636920478468899,3.787034650735293
0.409,2.6292621531100475,3.7731395680147046
0.41,2.621603827751196,3.759244485294116
0.411,2.6142831100478463,3.745707306985293
0.412,2.606962392344497,3.7321701286764695
0.413,2.5996416746411475,3.7186329503676463
0.414,2.5923209569377983,3.705095772058823
0.415,2.5850002392344487,3.691558593749999
0.416,2.577992153110047,3.6783762867647054
0.417,2.5709840669856456,3.665193979779412
0.418,2.563975980861244,3.652011672794118
0.419,2.556967894736842,3.638829365808824
0.42,2.5499598086124404,3.62564705882353
0.421,2.5432393779904308,3.6128165900735296
0.422,2.536518947368421,3.5999861213235294
0.423,2.529798516746412,3.587155652573529
0.424,2.523078086124402,3.5743251838235293
0.425,2.5163576555023925,3.561494715073529
0.426,2.5098999043062205,3.549013051470588
0.427,2.5034421531100484,3.536531387867647
0.428,2.4969844019138763,3.524049724264706
0.429,2.490526650717704,3.511568060661765
0.43,2.484068899521532,3.499086397058824
0.431,2.477848851674642,3.4869505055147063
0.432,2.471628803827752,3.474814613970589
0.433,2.465408755980862,3.462678722426471
0.434,2.459188708133972,3.4505428308823536
0.435,2.4529686602870817,3.438406939338236
0.436,2.446961339712919,3.426613786764706
0.437,2.4409540191387564,3.4148206341911767
0.438,2.4349466985645933,3.403027481617647
0.439,2.4289393779904307,3.3912343290441176
0.44,2.422932057416268,3.379441176470588
0.441,2.4171124880382777,3.3679877297794114
0.442,2.4112929186602874,3.356534283088235
0.443,2.4054733492822966,3.3450808363970586
0.444,2.3996537799043063,3.333627389705882
0.445,2.393834210526316,3.3221739430147057
0.446,2.388177416267943,3.311057169117647
0.447,2.3825206220095696,3.299940395220588
0.448,2.3768638277511966,3.2888236213235293
0.449,2.3712070334928232,3.2777068474264706
0.45,2.3655502392344503,3.266590073529412
0.451,2.3600312440191398,3.2558069393382354
0.452,2.354512248803828,3.2450238051470586
0.453,2.348993253588517,3.234240670955882
0.454,2.3434742583732056,3.2234575367647054
0.455,2.3379552631578946,3.212674402573529
0.456,2.3325490909090907,3.202221875
0.457,2.3271429186602868,3.19176934742647
0.458,2.3217367464114838,3.181316819852941
0.459,2.3163305741626794,3.1708642922794112
0.46,2.3109244019138755,3.160411764705882
0.461,2.305606076555024,3.1502868106617643
0.462,2.300287751196172,3.1401618566176466
0.463,2.294969425837321,3.130036902573529
0.464,2.2896511004784688,3.119911948529411
0.465,2.284332775119617,3.1097869944852934
0.466,2.2790773205741623,3.0999865808823523
0.467,2.273821866028708,3.0901861672794118
0.468,2.268566411483253,3.08038575367647
0.469,2.2633109569377985,3.070585340073529
0.47,2.258055502392344,3.060784926470588
0.471,2.2528379425837315,3.051306020220588
0.472,2.247620382775119,3.041827113970588
0.473,2.2424028229665067,3.032348207720588
0.474,2.2371852631578943,3.022869301470588
0.475,2.231967703349281,3.013390395220588
0.476,2.2267630622009564,3.0042299632352933
0.477,2.221558421052632,2.9950695312499995
0.478,2.2163537799043063,2.9859090992647053
0.479,2.211149138755981,2.976748667279411
0.48,2.205944497607656,2.9675882352941176
0.481,2.2007277990430625,2.958743244485294
0.482,2.1955111004784693,2.94989825367647
0.483,2.190294401913876,2.941053262867647
0.484,2.1850777033492825,2.932208272058824
0.485,2.179861004784689,2.92336328125
0.486,2.1746072727272727,2.9148306985294115
0.487,2.1693535406698565,2.9062981158088235
0.488,2.16409980861244,2.897765533088235
0.489,2.158846076555024,2.889232950367647
0.49,2.1535923444976075,2.8807003676470586
0.491,2.1482766028708133,2.8724771599264702
0.492,2.142960861244019,2.864253952205882
