Test,nL,lr,dec,nRemove,tol,EL,std EL,delta EL,list EL,ET,std ET,delta ET,list ET,GL,std GL,delta GL,list GL,vL,std vL,delta vL,list vL
Test_00,20.0,78.0,1.0,10,1e-14,13748.009800185548,644.5325219492955,0.04688187827307169,"[15065.324709594024, 14793.408277512552, 14568.327718066244, 14434.123088661609, 14346.785728520243, 14226.743638391501, 14068.551286586804, 13883.317863225318, 13635.651468140904, 13592.330699767146, 13482.971095424375, 13607.714454680818, 13621.223335858582, 13145.285047689353, 13150.901297668162, 13173.233472434847, 13121.56218953524, 13022.485256503332, 12934.007805948577, 13086.24756950134]",204.37120509529188,23.353109446527952,0.11426810071232456,"[232.35095473585116, 202.8867705131634, 223.77926630460428, 214.0676804900744, 208.66012179353606, 218.7996546149192, 213.67559411859403, 226.17636731035154, 237.32927970024377, 236.98269800588844, 230.7270738974676, 188.61728716107996, 180.32723294164407, 193.2983697704072, 200.73818470107585, 190.89581533808723, 180.3153757559244, 174.30117143221966, 169.5388827557397, 163.95632056496524]",528.212765267705,35.536934569576914,0.06727768979904593,"[599.6850455762765, 592.9259562716869, 551.6654605085832, 562.3665623393429, 570.8080295755175, 562.448119686486, 552.2361097657237, 541.7389120298576, 524.556200930529, 514.263788583448, 495.46081606571033, 487.3620079792805, 506.1465452982681, 498.0307473234117, 508.43588477772715, 512.765251949875, 501.7166790861809, 495.0026835053924, 490.27532105194564, 496.36518304885624]",0.4757199344633481,0.04340265568850954,0.09123573040400623,"[0.4999998850988107, 0.49999988509883875, 0.49999989999999994, 0.4999998999999825, 0.49999989999999994, 0.49999989999999994, 0.49999989999999994, 0.49999989999999994, 0.49999989999999994, 0.49999989999999994, 0.48803704775498075, 0.4538151372630164, 0.49999988509883875, 0.49999989999999994, 0.49999988509883875, 0.4865577296301757, 0.4308763184029055, 0.39090339885615955, 0.36411788424037184, 0.4000925327240422]"
Test_01,20.0,78.0,1.0,10,1e-14,14798.469347969281,987.8779804740853,0.06675541620185514,"[14453.618099971516, 14774.806925289364, 15283.129113645828, 16866.819578250484, 14651.807797359123, 15339.656150311896, 16074.14095774707, 16420.6364681009, 15324.39482555951, 13937.429542913123, 13168.31835371207, 14043.773969918124, 14057.789936999989, 13922.485498811691, 13918.61181522088, 14527.047228746133, 14809.51265292009]",221.8017064196496,27.430860698765848,0.12367290198780781,"[314.36375702653703, 207.83160035165383, 215.9540344875261, 196.7635767362999, 236.17241361395043, 213.38290649634737, 219.70092084808226, 230.01377580683305, 225.3873918420787, 231.37751629208466, 230.03769048076995, 218.45463679957524, 213.75828184956868, 220.97415844330712, 215.77397420544347, 191.1019726438887, 189.58040121009643]",658.594869110847,56.043495580268086,0.08509555450368306,"[650.4410636430393, 671.280993664653, 673.9605651153204, 735.436080668573, 605.677955057365, 675.4154401968923, 745.9854730795449, 735.7776538671573, 684.0753953978772, 605.8839348003069, 568.4342523211267, 552.56507405485, 621.4353904670413, 627.9870797292276, 664.204157445266, 677.8549341244903, 699.6973312516693]",0.12053565762270957,0.08138506644081607,0.675194942691238,"[1.0000000320853336e-07, 0.01280087271813766, 1.0000000009995278e-07, 1.0000000000000029e-07, 1.1490244888330049e-07, 0.16851799362984365, 0.14330217750869484, 0.1514555985206877, 0.17410684214470454, 0.18997044361864918, 0.21663778575587636, 0.1840021426001345, 0.19540024122903776, 0.18224069605954757, 0.15844031521194987, 0.14582696965205447, 0.12640368603429253]"
Test_02,20.0,78.0,1.0,10,1e-14,14590.831589471389,918.0062765040393,0.0629166522055168,"[12900.20952406051, 14725.45769936738, 15547.372498411423, 14510.580348232415, 14086.517819584158, 12993.429816516002, 12886.30071576148, 14586.235215497456, 15430.03396701388, 15282.81629143416, 15563.655801238952, 15330.662107671986, 15099.475269338769, 14851.87675443953, 14744.642405892355, 14914.03919708177]",247.3636375184506,48.15274270796773,0.19466378806131548,"[195.3731277889991, 295.4825456563342, 292.90592465808186, 241.42003762747308, 208.59041129127255, 275.0192054093919, 367.0534287886039, 222.97785367727147, 242.69462952266235, 239.82143219069624, 186.121587136576, 306.8663158228317, 231.49029857458862, 226.874219559421, 212.8930684043998, 212.23411418660558]",3522.479564404125,3608.0640904164475,1.0242966706967398,"[14719.408650251413, 7753.876215940379, 1613.697330087089, 1537.6240597726578, 7783.892278169365, 2331.967731761039, 2297.520983262079, 2924.78420803749, 1925.562120157033, 1916.7618743011865, 3277.4702442331413, 1887.1254587349224, 1653.2979449849074, 1923.1948699779864, 1642.3601752734976, 1171.1288855218077]",0.10678315742817795,0.10363138291137232,0.9704843479747683,"[1.0000000000000001e-07, 0.28266125756366234, 0.14853305369542932, 0.1087091217033786, 0.06460609210325362, 1.1490116119384766e-07, 1.0000000000000001e-07, 0.26147634235746603, 0.07066053479601928, 0.025127806025552, 0.14575724185048644, 0.3310876499512768, 0.10645657953231659, 0.0723544750387102, 0.043682195030082686, 0.04741785430205205]"
Test_03,20.0,78.0,1.0,10,1e-14,15013.09169209638,875.9623522136366,0.0583465664620423,"[16135.605098373324, 16609.207325531108, 16172.38436384115, 14386.394961957954, 16139.953190554133, 15018.35684552458, 16030.785678209115, 15084.46807391464, 13993.121091177405, 13661.82658404099, 13947.347350988626, 14704.961079486242, 14686.467763185958, 14180.835462986528, 14760.866643387244, 14680.840876380182, 15264.85309765189, 14777.374970543759]",197.60973842046803,30.685005014304927,0.1552808341308276,"[138.1943748412232, 283.77033224552457, 164.92320288352633, 221.14180207315513, 197.25931227767703, 163.3214516883657, 221.06090768548952, 187.451064324127, 202.47043343147027, 182.17245702851136, 227.44958733757744, 200.9315788776746, 187.3071351947484, 181.34995097592508, 197.508568082383, 198.09959410193295, 205.7865618591961, 196.77697665991712]",709.0241508322732,63.026366361809664,0.08889170599876954,"[681.5805419225196, 729.0872209080984, 883.0826117340254, 584.7991072476233, 692.193420226615, 750.4578329199417, 737.987415993299, 716.5632402178675, 639.0923710037267, 644.2977099912927, 729.3695177314846, 704.4648908863281, 694.7511079247312, 675.91834805464, 710.5506430935761, 726.6904648979495, 784.0419282580857, 677.506341969114]",0.39976052282770536,0.08797448995282925,0.22006797802479808,"[0.36049638832954195, 0.3042377247278138, 0.49999989999999994, 0.18746550926117853, 0.49999989999999994, 0.4202564838295082, 0.49999989999999994, 0.30344060951280794, 0.3796437801297783, 0.322262750888473, 0.49999989999999994, 0.4514030683393438, 0.42175129079721774, 0.412207204684468, 0.4023265728121741, 0.32166243281154183, 0.49999989999999983, 0.40853609477484965]"
Test_04,20.0,78.0,1.0,10,1e-14,15543.120776605669,390.8603670465382,0.025146839728275916,"[14716.992314221461, 15193.342045208112, 15288.03752051134, 15940.08670715022, 16492.937854059026, 15981.788570421504, 15708.432065912844, 15566.223178543332, 15401.36736528315, 15278.975645430342, 15375.143763977909, 15311.931472868217, 15403.286680993515, 15510.162873328547, 15590.108038602757, 15625.822491574529, 15848.41461420955]",266.2178295028229,20.831186433324934,0.0782486525122242,"[279.73716721419135, 317.86159321354205, 246.69069961790112, 280.897336494926, 262.8360769190929, 265.84666596489797, 277.47988896616846, 279.7807259295513, 279.7743012397926, 277.33578178528325, 268.3948750341625, 266.91947841922934, 262.549320238639, 245.6271808968514, 241.99092886461696, 238.18524059579062, 233.79584015335263]",562.2775872887717,20.75483228848051,0.03691207467215184,"[503.6530381004223, 585.2294306135586, 598.6507501214242, 570.7507883038894, 575.3213455132235, 570.6871485155094, 560.4379336222765, 552.8104621328388, 549.967633268936, 558.5790328289559, 573.6096393453436, 570.1615251843417, 549.7804768582129, 544.5356070849131, 551.5167236105768, 564.9273573532979, 578.1000914513969]",0.2255511204935803,0.06137019941456611,0.2720899780070605,"[0.09340746531780088, 0.3940995907147565, 0.28582095455647116, 0.2095807888847115, 0.16796313716036487, 0.16879778543294927, 0.19404295486572776, 0.2180384259911425, 0.2192094674750196, 0.2314224423529655, 0.23217305218225878, 0.25259525175692626, 0.20337443944317218, 0.22164071373984967, 0.24714254873994218, 0.23956416797364904, 0.25549586180315753]"
Test_05,20.0,78.0,1.0,10,1e-14,13661.964701752717,729.7920009937404,0.05341779289622335,"[12449.934591634646, 14151.243542094138, 14783.20452914502, 14542.320483256339, 14455.603634721463, 13678.536131707646, 14470.569883735487, 13212.864504517935, 12677.778261735551, 13393.390153592127, 14347.494669312351, 13104.218940647323, 12646.6680945525, 12798.126446970813, 13518.344539297053, 14026.53489467851, 13928.01697160331, 13730.51435834669]",177.0913911882911,48.32855211709742,0.2729017587631487,"[227.30746388679725, 245.71471469835734, 252.38199064643848, 102.73391229736274, 190.08364067662933, 187.33669364197482, 181.63007292417453, 197.83441160541068, 135.91436951391788, 142.63791470675736, 167.36411915127564, 164.8437608110212, 155.43621426402646, 274.4561424748095, 106.17003261938112, 139.82904971782887, 170.79946818117148, 145.1710695719054]",479.14943481677085,144.03245287377695,0.30060027709070697,"[237.55757054440812, 527.8662431153825, 798.7417399298137, 294.47389112373503, 516.4319983140344, 415.8821933613108, 446.0959171685626, 501.3151243942771, 432.30894736280055, 427.99389452733163, 471.5106273045513, 449.77817658292673, 367.8022838674903, 317.8804832573487, 477.2007708892148, 612.3730341741763, 759.4310204674695, 570.0459103170421]",0.39720248340656217,0.1637248159772204,0.4121948447377596,"[1.1490116240996385e-07, 1.0000000000000001e-07, 0.49999989999999994, 0.49999989999999994, 0.49999989999999994, 0.46830872033594984, 0.36546582818313655, 0.3183488776061558, 0.3258321820924565, 0.2609256946536147, 0.4895699258037038, 0.42119418754426324, 0.49999989999999994, 0.49999989999999994, 0.49999988509883875, 0.49999989999999994, 0.49999989999999994, 0.49999988509883875]"
Test_06,20.0,78.0,1.0,10,1e-14,14909.997846262504,2495.5378286234086,0.16737345332675324,"[23493.53772873575, 14170.204615899915, 11585.692906914199, 12429.376342810354, 15462.963020326093, 14149.521687877663, 16002.892874489144, 15837.677315217787, 15567.87039250392, 15143.800123377181, 14790.751004281003, 15215.115231690283, 16428.773470314205, 13402.911362840929, 13264.099470013158, 13812.05474994049, 13841.15067124897, 13781.568264244015]",224.55313780461995,73.16386731585486,0.32581983948722887,"[406.96292692471167, 361.2925466881214, 283.71919892685287, 219.2629217976213, 315.8764956611898, 189.04757726047833, 185.02834011222666, 198.2346742342062, 237.26454625623848, 173.55496025863815, 209.88394236286786, 230.62864988294044, 156.27312765197516, 166.06073132791172, 163.94413796568722, 158.91529067559787, 157.12486703579813, 228.8815454600956]",509.0154772318461,159.25346766841,0.31286566871103866,"[843.7289881965448, 884.1603997694233, 578.8332104081892, 461.1169861455468, 148.28862399187264, 387.7268706634152, 459.6659636043788, 492.72694948347987, 542.9583568031892, 532.8733393849926, 531.3349194471892, 539.0601977316725, 493.33941498390755, 420.3143974368394, 426.93178087438724, 499.4838338600376, 440.09656182282197, 479.63779556534286]",0.4188032262322393,0.12414804391883229,0.29643526158031164,"[0.49999988509883875, 0.303961321042176, 0.2201633406467942, 0.11619920736927, 0.49999989999999994, 0.4877743066152207, 0.49999989999999755, 0.49999989999999994, 0.49999989999999994, 0.49999989999999883, 0.499999899999796, 0.49999989999997774, 0.49999989999999994, 0.41778775946669416, 0.45992303734541107, 0.27755084320993934, 0.4972574148735751, 0.25784175651261787]"
Test_07,20.0,78.0,1.0,10,1e-14,12848.247776774415,1092.4300040302776,0.08502560216849546,"[15680.653120062972, 14578.41594766534, 14522.107401208905, 14318.637976474281, 11675.754178777794, 13107.376480715297, 12968.07264992167, 12076.373070769538, 11612.667736886207, 12977.46483953592, 13603.111879551358, 12168.925554665899, 12405.80442211732, 12496.62084275117, 12586.463646568538, 12236.981833448976, 12219.859935036322, 11931.415581786914, 12012.652718604744, 12345.722272783256, 12288.121222930306]",174.53953272283348,38.36463086679815,0.2198048216831237,"[165.97554012632574, 241.34807821220355, 233.84044029173685, 214.5618767021201, 196.48781396058112, 168.57772958000496, 149.71730351804695, 120.23254266004828, 123.0934089090656, 155.28107851999303, 183.04655567390756, 153.35031093750914, 147.8349035088978, 157.61937744386228, 135.55352328694528, 173.926885921571, 212.880269276803, 240.67722460540801, 209.01582878942608, 154.91264991200165, 127.3968453430457]",548.7496841493971,93.22214897568361,0.16988100707553916,"[830.6468758378933, 614.5104632719817, 683.7568799573179, 616.8661404542676, 458.9955323238851, 418.0226867028333, 525.7208918889688, 529.1979288134856, 545.1999564735991, 585.1130219606731, 600.9069874028381, 581.7066916225322, 565.8080783042371, 543.4491344513993, 561.3400135626771, 466.7134691616373, 467.84286874800057, 435.5053778531366, 466.3105650206756, 516.9342218728962, 509.19558145240234]",0.36929786990569174,0.12924258197479158,0.34996839274430824,"[0.26826694030256565, 0.44272375228925537, 0.49999989999999994, 0.49999989999999994, 0.17070714505728776, 0.3596195724172132, 0.24529939453596775, 0.29146228871684243, 0.2147050286334783, 0.36042385001219646, 0.4476879058074718, 0.35995176075892593, 0.48486632757607256, 0.49999989999999994, 0.3486427067523553, 0.04490513187044023, 0.49999989999999994, 0.49999989999999994, 0.49999989999999994, 0.41058699776766555, 0.3054070655217892]"
Test_08,20.0,78.0,1.0,10,1e-14,14474.614825750552,1177.038809916237,0.08131745293990605,"[17227.227517119336, 16529.439793696627, 16404.168587473672, 15035.632866316135, 13893.208432243797, 14183.941724906896, 14819.649241789535, 15351.014619780022, 15026.00483540301, 14238.818502300795, 14313.445661550013, 14401.626797969053, 14194.223895265079, 14056.525924935957, 13718.68921939188, 13262.28184930157, 13039.451802814907, 13415.29432631395, 13270.283415777729, 13111.367500661114]",196.87957112286304,136.67420424081203,0.6942020620083547,"[500.84020233383404, 512.279437820515, 341.24841781610377, 307.4568885447714, 271.8290977834195, 164.6896580726498, 224.6321109758688, 293.8335209562285, 247.0265042771472, 102.04400919918575, 96.15832459715811, 90.40437893417094, 63.3658253793951, 88.75309907828134, 103.72529362077164, 95.58508078467793, 114.65749079248967, 120.15062365376099, 105.69222145129284, 93.21923638553841]",453.94544155926604,151.1308821123999,0.3329274143458242,"[850.2247153184452, 651.084518713292, 336.6197788451454, 323.59583959064184, 379.856872820849, 499.00499619689236, 652.0466037258357, 640.581792415355, 341.0330458733131, 494.61368814853836, 243.75022700563886, 312.5684425749791, 331.5956174131347, 369.43173733958776, 333.74973338352737, 404.1257381097606, 513.1062554994637, 511.3385463390337, 469.36099815195644, 421.2196837199316]",0.4999998970197678,6.115307520903796e-09,1.2230617560831265e-08,"[0.49999989999999994, 0.49999989999999994, 0.49999989999999994, 0.49999989999999994, 0.49999989999999994, 0.49999989999999994, 0.49999989999999994, 0.49999988509883875, 0.49999989999999994, 0.49999989999999994, 0.49999989999999994, 0.49999989999999994, 0.49999989999999994, 0.49999988509883875, 0.49999989999999994, 0.49999988509883875, 0.49999989999999994, 0.49999988509883875, 0.4999998999999999, 0.49999989999999994]"
